37664 2016-11-26 18:49:24,183 ListenUsers.py[line:266] DEBUG:  用户: uid : 20230516; name : 1575029789Q; nickName : yoyo; gender : 0; city : 大连; registDate : 2013/6/22 9:46:00; signinLast : 569; lastSignin : 3小时前; selfIntroduction : [[[喜欢就是动力吧~相信天道酬勤~要继续加油哦！！！]]]
37664 2016-11-26 18:49:24,183 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 20230516 ; 消耗时间：2.942289113998413
37664 2016-11-26 18:49:24,183 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
35172 2016-11-26 18:49:24,184 HJSpider.py[line:182] INFO:  获取的用户uid为：4928005
37912 2016-11-26 18:49:25,307 ListenUsers.py[line:266] DEBUG:  用户: uid : 10592911; name : 不行还不能笑要忍住; nickName : Light; gender : -1; city : 其他; registDate : 2011/10/16 1:43:00; signinLast : 549; lastSignin : 13小时前; selfIntroduction : [[[だ・・・駄目だ まだ笑うな・・・ こらえるんだ・・・ し・・・ しかし・・・・]]]
37912 2016-11-26 18:49:25,308 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 10592911 ; 消耗时间：3.001861810684204
37912 2016-11-26 18:49:25,308 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
35172 2016-11-26 18:49:25,308 HJSpider.py[line:182] INFO:  获取的用户uid为：11367664
37912 2016-11-26 18:49:26,991 ListenUsers.py[line:266] DEBUG:  用户: uid : 2286632; name : ryuyou61; nickName : 哈路卡; gender : 0; city : 北京; registDate : 2008/8/6 15:39:00; signinLast : 2260; lastSignin : 10小时前; selfIntroduction : [[[]]]
37912 2016-11-26 18:49:26,991 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 2286632 ; 消耗时间：1.6829228401184082
37912 2016-11-26 18:49:26,992 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
35172 2016-11-26 18:49:26,993 HJSpider.py[line:182] INFO:  获取的用户uid为：11165624
38060 2016-11-26 18:49:27,076 ListenUsers.py[line:266] DEBUG:  用户: uid : 2384617; name : 某仙女; nickName : 仙女姐姐; gender : 0; city : 上海; registDate : 2008/8/28 14:39:00; signinLast : 2251; lastSignin : 1天前; selfIntroduction : [[[]]]
38060 2016-11-26 18:49:27,076 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 2384617 ; 消耗时间：3.526477098464966
38060 2016-11-26 18:49:27,076 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
37664 2016-11-26 18:49:27,278 ListenUsers.py[line:266] DEBUG:  用户: uid : 10455216; name : AmberKanako; nickName : かな; gender : 0; city : 杭州; registDate : 2011/10/1 14:03:00; signinLast : 118; lastSignin : 1年前; selfIntroduction : [[[]]]
37664 2016-11-26 18:49:27,279 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 10455216 ; 消耗时间：3.0949530601501465
37664 2016-11-26 18:49:27,279 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
35172 2016-11-26 18:49:27,340 HJSpider.py[line:182] INFO:  获取的用户uid为：11488579
35172 2016-11-26 18:49:27,341 HJSpider.py[line:182] INFO:  获取的用户uid为：4261501
38060 2016-11-26 18:49:28,382 ListenUsers.py[line:266] DEBUG:  用户: uid : 4226441; name : nancy813; nickName : ; gender : 0; city : 杭州; registDate : 2009/12/5 16:35:00; signinLast : 0; lastSignin : 1年前; selfIntroduction : [[[]]]
38060 2016-11-26 18:49:28,383 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 4226441 ; 消耗时间：1.306368112564087
38060 2016-11-26 18:49:28,383 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
35172 2016-11-26 18:49:28,384 HJSpider.py[line:182] INFO:  获取的用户uid为：12981572
37912 2016-11-26 18:49:29,921 ListenUsers.py[line:266] DEBUG:  用户: uid : 14376819; name : LaToMa; nickName : 可以叫我小蕃茄~; gender : -1; city : 天津; registDate : 2012/8/30 23:40:00; signinLast : 85; lastSignin : 2年前; selfIntroduction : [[[「諸仏世尊は唯一大事の因縁を以ての故に世に出現す」とあります（『法華経』）。その目的と仕事とは、「開示悟入」です。]]]
37912 2016-11-26 18:49:29,921 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 14376819 ; 消耗时间：2.9284021854400635
37912 2016-11-26 18:49:29,922 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
35172 2016-11-26 18:49:29,992 HJSpider.py[line:260] INFO:  此次添加 1 个用户
35172 2016-11-26 18:49:29,993 HJSpider.py[line:182] INFO:  获取的用户uid为：7167289
37664 2016-11-26 18:49:30,599 ListenUsers.py[line:266] DEBUG:  用户: uid : 6634273; name : stratosphere; nickName : (｡◕∀◕｡)ﾉ⋆(㋗✿㋺❀㋙✿㋡❀㋠❤; gender : -1; city : 南昌; registDate : 2010/11/13 20:37:00; signinLast : 857; lastSignin : 2个月前; selfIntroduction : [[[]]]
37664 2016-11-26 18:49:30,599 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 6634273 ; 消耗时间：3.320549964904785
37664 2016-11-26 18:49:30,599 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
35172 2016-11-26 18:49:30,600 HJSpider.py[line:182] INFO:  获取的用户uid为：1756628
37912 2016-11-26 18:49:31,248 ListenUsers.py[line:266] DEBUG:  用户: uid : 2724052; name : wuyanwuke; nickName : ; gender : 0; city : 上海; registDate : 2008/11/5 9:46:00; signinLast : 1; lastSignin : 3个月前; selfIntroduction : [[[]]]
37912 2016-11-26 18:49:31,248 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 2724052 ; 消耗时间：1.3262109756469727
37912 2016-11-26 18:49:31,249 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
35172 2016-11-26 18:49:31,250 HJSpider.py[line:182] INFO:  获取的用户uid为：3716688
38060 2016-11-26 18:49:31,606 ListenUsers.py[line:266] DEBUG:  用户: uid : 11295111; name : Lynn1818; nickName : 二姑娘; gender : 0; city : 南京; registDate : 2011/12/20 16:01:00; signinLast : 1224; lastSignin : 5天前; selfIntroduction : [[[]]]
38060 2016-11-26 18:49:31,606 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 11295111 ; 消耗时间：3.2229888439178467
38060 2016-11-26 18:49:31,607 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
35172 2016-11-26 18:49:31,607 HJSpider.py[line:182] INFO:  获取的用户uid为：3280263
37664 2016-11-26 18:49:32,107 ListenUsers.py[line:266] DEBUG:  用户: uid : 7384067; name : chuiniao; nickName : ; gender : 0; city : 上海; registDate : 2011/1/26 12:21:00; signinLast : 16; lastSignin : 1小时前; selfIntroduction : [[[]]]
37664 2016-11-26 18:49:32,108 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 7384067 ; 消耗时间：1.5088310241699219
37664 2016-11-26 18:49:32,108 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
35172 2016-11-26 18:49:32,379 HJSpider.py[line:182] INFO:  获取的用户uid为：6978548
37912 2016-11-26 18:49:32,584 ListenUsers.py[line:266] DEBUG:  用户: uid : 5715020; name : 关子如月78; nickName : ; gender : 0; city : 深圳; registDate : 2010/8/31 11:02:00; signinLast : 24; lastSignin : 1周前; selfIntroduction : [[[]]]
37912 2016-11-26 18:49:32,586 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 5715020 ; 消耗时间：1.3348760604858398
37912 2016-11-26 18:49:32,596 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
35172 2016-11-26 18:49:32,597 HJSpider.py[line:182] INFO:  获取的用户uid为：3754239
37664 2016-11-26 18:49:33,600 ListenUsers.py[line:266] DEBUG:  用户: uid : 4928005; name : brenda152; nickName : ; gender : 0; city : 上海; registDate : 2010/5/25 9:38:00; signinLast : 148; lastSignin : 3周前; selfIntroduction : [[[]]]
37664 2016-11-26 18:49:33,601 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 4928005 ; 消耗时间：1.492069959640503
37664 2016-11-26 18:49:33,601 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
35172 2016-11-26 18:49:33,602 HJSpider.py[line:182] INFO:  获取的用户uid为：10911012
37912 2016-11-26 18:49:34,047 ListenUsers.py[line:266] DEBUG:  用户: uid : 11367664; name : tb6899275; nickName : ; gender : 0; city : 台州; registDate : 2011/12/29 18:23:00; signinLast : 540; lastSignin : 1个月前; selfIntroduction : [[[]]]
37912 2016-11-26 18:49:34,048 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 11367664 ; 消耗时间：1.451843023300171
37912 2016-11-26 18:49:34,049 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
35172 2016-11-26 18:49:34,049 HJSpider.py[line:182] INFO:  获取的用户uid为：6990160
38060 2016-11-26 18:49:34,573 ListenUsers.py[line:266] DEBUG:  用户: uid : 4428561; name : forever8938; nickName : -; gender : 1; city : 厦门; registDate : 2010/2/20 19:23:00; signinLast : 1593; lastSignin : 1小时前; selfIntroduction : [[[]]]
38060 2016-11-26 18:49:34,575 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 4428561 ; 消耗时间：2.9677510261535645
38060 2016-11-26 18:49:34,575 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
35172 2016-11-26 18:49:34,633 HJSpider.py[line:260] INFO:  此次添加 1 个用户
35172 2016-11-26 18:49:34,633 HJSpider.py[line:182] INFO:  获取的用户uid为：5168825
37912 2016-11-26 18:49:35,309 ListenUsers.py[line:221] WARNING:  http://bulo.hujiang.com/u/11488579/: redirect 302
37912 2016-11-26 18:49:35,309 ListenUsers.py[line:223] WARNING:  提示: 用户设定部落主页私有。
37912 2016-11-26 18:49:35,565 ListenUsers.py[line:232] DEBUG:  用户: uid : 11488579; name : 凌乱凌乱; nickName : ; gender : 0; city : 大连; registDate : 1970/1/1 0:0:0; signinLast : 174; lastSignin : ; selfIntroduction : [[[]]]
